站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705150100,0.5,1020.0,36,170,0.5,0.1,10489.7
58102,20240705150100,17.2,1001.4,72,119,7.5,0.6,10214.7
58118,20240705150100,12.5,1000.0,81,302,14.7,0.9,10488.2
58122,20240705150100,28.5,1014.8,3,333,3.2,1.5,10398.9
58203,20240705150100,9.8,1021.8,81,243,3.4,0.5,10087.9
58215,20240705150100,33.9,1021.8,56,193,0.9,1.3,10185.2
58221,20240705150100,18.5,1013.4,64,10,0.6,1.1,10039.7
58225,20240705150100,0.3,1018.1,84,119,10.6,0.7,10304.8
58236,20240705150100,9.0,1014.7,42,288,13.5,0.6,10367.0
58311,20240705150100,16.9,1017.9,91,299,8.4,1.3,10213.4
58314,20240705150100,4.4,1018.9,83,111,13.5,0.8,10215.8
58319,20240705150100,4.1,1021.8,82,76,2.1,0.3,10099.1
58321,20240705150100,27.9,1015.7,49,279,9.4,1.4,10487.2
58326,20240705150100,3.1,1014.9,20,301,5.6,1.2,10450.7
58336,20240705150100,24.0,1012.6,8,196,11.7,1.0,10077.2
58338,20240705150100,30.2,1003.9,82,145,11.0,0.7,10211.7
58414,20240705150100,23.3,1022.5,85,93,1.4,0.1,10473.1
58419,20240705150100,6.0,1000.7,40,52,2.4,0.7,10120.9
58424,20240705150100,3.2,1025.2,5,302,8.0,0.5,10182.6
58429,20240705150100,9.7,1011.2,95,119,13.4,1.1,10426.9
58436,20240705150100,34.4,1011.1,76,29,0.3,1.4,10466.1
58437,20240705150100,17.0,1008.3,77,230,6.3,0.3,10069.4
58520,20240705150100,13.7,1005.6,39,39,1.3,1.2,10129.6
58531,20240705150100,24.3,1024.2,12,200,1.9,0.7,10471.8
54406,20240705150100,25.3,1015.8,12,59,9.9,0.4,10371.9
54416,20240705150100,10.5,1026.3,74,165,10.6,0.2,10438.5
54511,20240705150100,1.9,1019.8,72,308,8.9,0.9,10401.4
58725,20240705150100,30.4,1007.8,86,269,2.0,0.9,10309.2
58730,20240705150100,28.9,1014.6,18,245,9.5,0.3,10489.1
58731,20240705150100,4.6,1003.9,14,243,13.7,0.5,10308.4
58734,20240705150100,19.5,1004.3,43,7,2.7,1.0,10079.8
58737,20240705150100,21.8,1010.8,1,105,11.3,0.8,10324.5
58744,20240705150100,23.3,1016.6,39,75,13.0,0.0,10424.7
58754,20240705150100,22.7,1020.5,6,133,6.6,1.0,10495.0
58818,20240705150100,25.5,1018.8,61,340,14.6,0.5,10162.9
58820,20240705150100,32.5,1001.8,23,184,3.9,0.6,10083.0
58834,20240705150100,25.2,1023.6,88,38,9.7,0.3,10411.2
58837,20240705150100,17.9,1016.8,30,46,9.0,0.1,10055.3
58843,20240705150100,15.6,1014.8,0,291,13.8,0.6,10164.6
58846,20240705150100,8.5,1016.9,40,60,7.9,1.0,10361.4
58847,20240705150100,6.8,1022.6,64,203,7.2,0.5,10315.1
58911,20240705150100,32.1,1023.2,43,343,11.2,0.3,10386.3
58918,20240705150100,10.2,1018.2,80,88,0.8,0.6,10403.9
58921,20240705150100,9.6,1023.3,21,3,3.9,0.6,10463.1
58926,20240705150100,21.8,1011.5,83,139,8.8,0.2,10324.6
58927,20240705150100,16.2,1002.1,90,275,10.5,0.9,10431.7
58931,20240705150100,6.8,1006.0,74,120,2.4,0.9,10401.4
58933,20240705150100,13.2,1020.1,77,291,2.1,1.5,10211.9
58936,20240705150100,1.2,1001.2,12,50,5.7,1.1,10040.6
58944,20240705150100,9.7,1005.1,77,139,6.4,0.2,10311.5
59113,20240705150100,16.9,1006.7,37,79,11.9,0.9,10441.3
59126,20240705150100,14.4,1009.0,83,168,7.1,0.5,10357.7
59133,20240705150100,34.4,1016.0,71,166,4.2,0.0,10291.4
59134,20240705150100,5.2,1025.9,68,349,6.0,0.9,10346.0
59321,20240705150100,32.6,1018.9,19,8,6.3,0.1,10254.4
52323,20240705150100,3.3,1015.3,3,199,14.8,0.8,10443.2
52418,20240705150100,32.1,1018.4,61,265,8.1,1.3,10282.0
52424,20240705150100,32.5,1014.4,100,117,0.1,0.5,10160.2
52436,20240705150100,11.3,1026.2,59,350,2.3,0.4,10345.7
52446,20240705150100,33.6,1011.9,61,209,6.2,1.3,10164.1
52447,20240705150100,31.2,1018.5,16,255,6.9,1.1,10277.1
52533,20240705150100,5.2,1013.8,70,348,1.9,1.5,10090.6
52546,20240705150100,32.0,1020.5,66,104,2.9,0.0,10174.1
52652,20240705150100,5.2,1015.3,57,49,6.8,0.9,10391.9
52661,20240705150100,8.2,1015.5,35,17,9.8,0.3,10072.2
52674,20240705150100,1.9,1013.5,80,62,8.0,0.0,10213.5
52679,20240705150100,24.9,1013.3,69,330,11.4,0.0,10398.7
52681,20240705150100,4.5,1011.4,29,30,0.3,0.4,10002.9
52787,20240705150100,17.1,1023.0,76,313,0.8,0.4,10323.7
52797,20240705150100,25.6,1009.7,21,55,3.9,0.4,10057.3
52884,20240705150100,6.9,1014.1,46,31,4.0,1.1,10275.2
