站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705143800,31.7,1020.9,51,69,0.7,1.3,10049.8
58102,20240705143800,3.7,1022.5,47,339,6.5,0.0,10109.4
58118,20240705143800,27.2,1023.9,72,281,3.7,0.1,10075.7
58122,20240705143800,3.2,1021.5,10,310,8.8,1.3,10111.7
58203,20240705143800,13.5,1004.7,2,342,1.2,0.6,10362.3
58215,20240705143800,31.9,1011.3,24,68,1.4,1.3,10006.9
58221,20240705143800,23.1,1019.2,78,65,3.3,0.9,10441.2
58225,20240705143800,7.0,1008.9,64,115,8.7,1.4,10241.4
58236,20240705143800,22.7,1006.4,37,72,3.2,1.5,10138.2
58311,20240705143800,14.6,1010.6,26,325,10.7,0.6,10217.1
58314,20240705143800,7.3,1009.0,17,184,9.4,1.4,10223.6
58319,20240705143800,7.7,1022.2,28,159,0.3,0.5,10023.8
58321,20240705143800,14.0,1001.2,37,168,11.9,1.5,10035.5
58326,20240705143800,0.3,1005.8,82,89,5.2,0.2,10187.6
58336,20240705143800,21.1,1021.9,100,354,13.1,0.2,10338.0
58338,20240705143800,32.5,1008.8,28,22,7.5,0.6,10479.9
58414,20240705143800,17.9,1011.4,88,341,13.9,1.2,10334.7
58419,20240705143800,16.0,1000.5,40,63,5.5,1.3,10287.7
58424,20240705143800,20.9,1012.1,19,10,4.2,1.5,10327.4
58429,20240705143800,7.6,1024.6,87,31,11.0,0.9,10000.7
58436,20240705143800,8.7,1010.7,24,346,0.9,1.2,10325.6
58437,20240705143800,15.0,1025.6,5,352,8.3,0.3,10478.4
58520,20240705143800,18.9,1013.9,84,58,12.7,1.3,10221.7
58531,20240705143800,32.1,1017.1,31,117,4.8,0.8,10440.0
54406,20240705143800,6.0,1014.4,89,57,8.9,1.5,10105.9
54416,20240705143800,25.0,1020.3,59,110,10.2,0.1,10108.0
54511,20240705143800,18.5,1014.6,38,316,2.2,0.4,10205.3
58725,20240705143800,29.9,1019.8,19,160,5.2,1.3,10402.2
58730,20240705143800,30.2,1004.7,30,92,11.7,0.6,10437.1
58731,20240705143800,25.8,1016.3,98,228,7.8,0.5,10336.2
58734,20240705143800,33.2,1025.6,37,268,6.4,0.5,10354.6
58737,20240705143800,3.6,1017.0,86,137,5.0,0.3,10146.7
58744,20240705143800,0.2,1026.0,100,164,9.2,0.2,10045.8
58754,20240705143800,16.1,1000.6,87,301,6.9,0.7,10209.8
58818,20240705143800,9.8,1010.8,25,290,6.6,1.1,10354.1
58820,20240705143800,33.0,1018.9,60,66,6.9,1.4,10233.6
58834,20240705143800,12.2,1016.4,7,124,4.1,1.2,10350.9
58837,20240705143800,3.5,1008.5,92,199,6.7,0.7,10424.1
58843,20240705143800,28.8,1006.4,24,58,13.4,0.9,10484.7
58846,20240705143800,5.0,1011.8,43,120,7.9,0.2,10399.7
58847,20240705143800,15.1,1023.7,91,163,4.3,0.1,10432.8
58911,20240705143800,8.4,1020.4,97,111,0.2,0.2,10045.1
58918,20240705143800,32.1,1015.6,88,159,5.2,0.9,10002.1
