站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705143500,8.6,1011.9,31,358,5.0,0.7,10312.5
58102,20240705143500,26.0,1023.6,40,233,13.8,0.1,10388.6
58118,20240705143500,11.8,1020.1,80,98,2.6,1.3,10039.1
58122,20240705143500,6.0,1024.9,22,12,2.3,1.3,10375.3
58203,20240705143500,26.6,1013.6,78,14,4.5,0.5,10129.9
58215,20240705143500,9.8,1000.7,23,218,14.0,0.3,10174.8
58221,20240705143500,2.8,1025.3,22,6,1.2,1.2,10169.2
58225,20240705143500,23.8,1005.3,24,100,7.4,1.4,10001.0
58236,20240705143500,24.8,1020.4,62,306,0.5,1.0,10043.7
58311,20240705143500,0.2,1015.0,89,280,14.9,1.5,10153.1
58314,20240705143500,24.0,1026.0,44,170,0.5,0.9,10433.6
58319,20240705143500,31.7,1018.5,1,266,5.5,0.1,10182.4
58321,20240705143500,8.0,1025.9,51,220,0.8,1.1,10443.6
58326,20240705143500,6.5,1018.0,31,288,9.7,0.2,10339.7
58336,20240705143500,19.7,1010.3,94,49,1.5,0.0,10281.7
58338,20240705143500,32.0,1015.3,26,218,7.0,0.6,10225.5
58414,20240705143500,32.5,1008.5,96,7,1.7,0.9,10476.0
58419,20240705143500,22.5,1020.5,71,61,14.7,0.7,10448.7
58424,20240705143500,24.4,1011.9,23,273,14.2,0.8,10167.2
58429,20240705143500,25.9,1014.4,17,229,3.7,1.0,10031.0
58436,20240705143500,0.9,1016.0,86,194,2.8,0.6,10074.8
58437,20240705143500,29.5,1012.8,0,280,5.0,1.5,10199.8
58520,20240705143500,34.9,1015.6,57,216,13.0,0.8,10314.4
58531,20240705143500,17.4,1000.0,58,293,12.9,1.0,10358.7
54406,20240705143500,11.6,1007.7,34,55,12.3,1.4,10348.5
54416,20240705143500,15.1,1007.2,69,316,12.7,0.1,10162.6
54511,20240705143500,23.0,1008.1,62,239,8.5,1.2,10379.4
58725,20240705143500,11.7,1000.8,5,52,3.9,1.3,10201.7
58730,20240705143500,31.8,1014.1,58,147,10.3,0.7,10146.0
58731,20240705143500,7.6,1010.6,55,197,10.3,0.0,10333.7
58734,20240705143500,28.2,1010.7,17,92,13.0,0.0,10379.4
58737,20240705143500,16.7,1012.5,51,265,6.1,1.2,10426.6
58744,20240705143500,15.2,1024.6,79,260,9.2,0.3,10273.0
58754,20240705143500,9.6,1005.0,23,332,1.3,0.6,10211.2
58818,20240705143500,16.8,1000.4,21,180,11.3,0.9,10188.1
58820,20240705143500,19.5,1014.5,87,293,14.8,0.8,10011.5
58834,20240705143500,31.1,1012.7,16,173,9.8,0.1,10029.0
58837,20240705143500,9.1,1003.3,4,19,12.0,1.1,10464.8
58843,20240705143500,28.3,1000.7,37,181,11.8,0.5,10435.5
58846,20240705143500,18.3,1002.7,72,301,13.0,0.8,10336.3
58847,20240705143500,12.8,1004.2,41,149,11.9,0.3,10308.3
58911,20240705143500,12.0,1011.7,85,3,0.1,0.4,10434.5
58918,20240705143500,12.1,1023.1,8,285,14.1,0.7,10449.3
58921,20240705143500,30.9,1020.2,52,355,5.4,0.7,10269.9
58926,20240705143500,33.4,1023.6,100,304,0.6,0.2,10313.6
58927,20240705143500,12.7,1007.8,26,297,0.5,1.1,10226.0
58931,20240705143500,0.8,1001.9,43,330,5.1,0.0,10301.9
58933,20240705143500,4.2,1005.9,51,233,5.1,1.4,10132.0
58936,20240705143500,10.7,1013.2,88,184,4.1,0.6,10274.7
58944,20240705143500,34.7,1004.3,81,186,1.1,1.3,10115.3
59113,20240705143500,16.9,1014.3,75,97,2.0,1.1,10046.1
