站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705143600,31.5,1006.3,65,142,6.5,0.4,10420.3
58102,20240705143600,2.8,1020.9,65,102,14.7,0.5,10474.3
58118,20240705143600,25.2,1005.3,25,71,14.6,1.3,10349.5
58122,20240705143600,25.0,1017.8,86,91,0.6,1.2,10206.9
58203,20240705143600,15.5,1011.9,22,302,13.7,0.8,10063.7
58215,20240705143600,10.4,1012.5,21,305,12.1,0.9,10124.4
58221,20240705143600,11.8,1021.2,70,240,11.5,0.8,10239.5
58225,20240705143600,26.3,1008.2,45,106,8.2,1.1,10150.0
58236,20240705143600,33.9,1007.9,13,96,1.0,1.3,10378.0
58311,20240705143600,34.9,1010.2,17,213,6.7,1.3,10441.5
58314,20240705143600,23.9,1004.9,47,29,8.8,0.8,10072.3
58319,20240705143600,5.3,1025.7,89,298,13.0,0.9,10408.2
58321,20240705143600,6.2,1013.0,99,113,10.1,0.8,10420.0
58326,20240705143600,1.1,1013.9,89,220,14.6,0.4,10049.3
58336,20240705143600,31.5,1009.3,44,176,7.9,1.3,10260.9
58338,20240705143600,1.7,1019.2,66,212,12.0,0.2,10058.6
58414,20240705143600,25.2,1015.6,45,266,8.8,0.5,10283.1
58419,20240705143600,3.9,1025.1,98,150,5.2,0.7,10442.9
58424,20240705143600,24.8,1009.5,75,215,3.9,0.4,10038.7
58429,20240705143600,2.0,1010.5,86,248,3.3,1.0,10029.9
58436,20240705143600,25.5,1011.4,7,289,9.7,1.5,10024.0
58437,20240705143600,28.6,1016.2,90,285,0.5,0.5,10206.9
58520,20240705143600,10.7,1008.1,59,7,2.2,1.0,10313.8
58531,20240705143600,21.1,1014.3,27,73,12.4,1.2,10053.4
54406,20240705143600,30.9,1011.3,67,316,8.4,0.9,10162.2
54416,20240705143600,23.2,1024.5,5,210,6.4,0.0,10044.4
54511,20240705143600,32.1,1024.4,51,328,8.6,1.0,10348.8
58725,20240705143600,15.8,1009.2,26,71,13.1,0.4,10140.1
58730,20240705143600,20.7,1009.7,12,178,7.5,0.0,10334.4
58731,20240705143600,16.2,1012.3,48,4,12.6,1.1,10172.9
58734,20240705143600,14.2,1018.9,71,244,12.9,0.1,10194.0
58737,20240705143600,1.7,1024.8,100,277,13.5,0.2,10365.1
58744,20240705143600,21.8,1021.6,5,317,4.5,0.6,10154.8
58754,20240705143600,12.1,1005.1,31,145,10.2,0.8,10482.3
58818,20240705143600,12.8,1007.5,15,80,6.1,0.0,10209.2
58820,20240705143600,19.2,1003.0,42,59,4.8,0.5,10439.9
58834,20240705143600,3.6,1011.2,18,14,14.5,0.1,10414.2
58837,20240705143600,19.1,1006.7,26,4,7.6,0.1,10223.7
58843,20240705143600,22.8,1004.4,20,8,0.1,1.3,10094.3
58846,20240705143600,31.5,1025.0,10,117,3.1,0.6,10035.5
58847,20240705143600,3.1,1001.0,57,247,10.4,1.4,10333.1
58911,20240705143600,29.9,1020.1,4,132,1.8,1.3,10076.7
58918,20240705143600,29.4,1017.6,46,122,9.8,1.5,10341.8
58921,20240705143600,0.1,1008.1,16,146,0.2,0.0,10470.8
58926,20240705143600,8.5,1025.9,28,276,13.1,0.2,10275.7
58927,20240705143600,18.5,1001.2,64,26,9.3,1.2,10176.1
58931,20240705143600,6.2,1010.3,70,26,10.2,0.5,10095.7
58933,20240705143600,0.0,1007.8,50,261,10.7,0.2,10171.1
58936,20240705143600,21.1,1014.7,51,268,2.8,0.9,10027.1
58944,20240705143600,25.9,1014.4,2,236,0.2,0.6,10379.4
59113,20240705143600,4.5,1021.0,50,289,13.4,0.5,10187.6
59126,20240705143600,28.6,1018.9,100,188,9.3,0.8,10230.7
59133,20240705143600,0.2,1001.2,47,83,4.1,0.9,10289.5
59134,20240705143600,7.2,1008.2,27,183,0.4,1.2,10489.0
59321,20240705143600,20.6,1000.9,78,341,2.5,0.1,10422.3
52323,20240705143600,30.9,1002.9,16,357,3.9,1.2,10274.8
52418,20240705143600,3.4,1005.2,76,256,3.1,0.4,10067.6
52424,20240705143600,17.5,1009.6,60,67,0.6,0.1,10448.6
52436,20240705143600,26.0,1019.8,91,248,1.8,0.9,10445.7
52446,20240705143600,34.3,1014.8,64,134,4.5,0.7,10337.4
52447,20240705143600,33.4,1023.0,28,290,14.0,0.6,10261.4
52533,20240705143600,27.1,1002.5,25,236,11.4,0.7,10435.7
52546,20240705143600,2.2,1024.6,30,54,4.2,0.8,10418.5
52652,20240705143600,6.0,1021.6,81,275,7.4,0.0,10213.1
52661,20240705143600,1.9,1023.7,2,135,7.3,0.0,10348.3
52674,20240705143600,11.5,1013.7,93,218,8.5,0.0,10128.7
52679,20240705143600,10.1,1007.1,98,265,14.0,0.0,10140.8
52681,20240705143600,23.2,1000.4,3,84,11.5,0.0,10314.3
52787,20240705143600,14.1,1018.7,91,181,8.0,0.4,10165.5
52797,20240705143600,15.5,1025.1,97,110,4.8,0.9,10038.8
52884,20240705143600,33.5,1022.7,17,76,5.3,0.6,10198.8
52895,20240705143600,14.5,1005.3,70,247,3.7,0.1,10489.2
52983,20240705143600,15.4,1003.5,78,266,13.2,0.2,10022.9
52984,20240705143600,11.2,1000.6,15,117,3.4,0.1,10229.8
52986,20240705143600,23.5,1022.6,75,80,9.5,0.3,10209.8
52996,20240705143600,0.0,1010.7,20,176,11.8,0.7,10358.0
53821,20240705143600,20.7,1003.7,40,322,11.2,1.3,10454.0
53915,20240705143600,24.5,1003.1,70,119,11.4,1.4,10160.9
53923,20240705143600,19.9,1022.1,28,14,3.9,1.2,10421.7
56074,20240705143600,13.4,1014.1,69,334,9.5,0.6,10324.1
56080,20240705143600,16.3,1025.1,80,1,11.3,0.1,10033.5
56093,20240705143600,2.8,1000.5,36,133,3.8,0.2,10368.2
56096,20240705143600,30.3,1022.4,77,174,4.0,0.2,10406.5
57014,20240705143600,13.1,1000.2,54,115,2.0,1.4,10273.7
57996,20240705143600,1.6,1002.3,12,329,2.9,1.4,10046.3
59072,20240705143600,34.4,1017.1,0,262,3.4,1.2,10198.3
59082,20240705143600,2.2,1020.1,52,225,6.1,0.1,10374.1
59087,20240705143600,25.3,1014.9,67,75,13.4,0.6,10390.2
59088,20240705143600,0.4,1013.0,89,120,7.8,0.9,10494.8
59096,20240705143600,20.9,1020.5,80,263,13.9,0.2,10273.5
59097,20240705143600,22.3,1016.4,15,185,7.3,0.1,10206.2
59107,20240705143600,28.4,1005.0,62,107,8.6,1.4,10005.1
59116,20240705143600,32.0,1019.4,96,337,12.4,0.5,10346.6
59117,20240705143600,25.4,1000.8,65,113,1.6,0.0,10038.9
59271,20240705143600,30.5,1006.7,60,290,12.6,0.8,10057.4
59278,20240705143600,29.9,1004.8,48,25,9.0,0.1,10025.1
59280,20240705143600,17.7,1022.1,72,59,7.5,0.8,10378.0
59287,20240705143600,15.1,1021.9,83,235,4.4,0.1,10090.7
59289,20240705143600,26.0,1017.7,42,215,8.9,1.1,10364.0
59293,20240705143600,21.8,1003.3,51,9,9.8,1.1,10422.0
59294,20240705143600,18.9,1015.5,12,28,1.3,1.1,10475.8
59298,20240705143600,28.8,1012.7,15,241,2.8,0.2,10206.7
59303,20240705143600,2.4,1014.8,14,185,9.1,0.5,10088.3
59304,20240705143600,18.0,1015.2,8,140,6.7,0.7,10079.8
59306,20240705143600,1.7,1011.3,87,136,2.9,0.9,10114.8
59310,20240705143600,34.2,1017.4,67,273,10.8,0.8,10186.7
59316,20240705143600,13.8,1002.9,23,193,6.7,1.5,10151.8
59317,20240705143600,6.0,1009.3,100,323,6.2,1.2,10244.3
59324,20240705143600,23.1,1000.6,96,159,2.2,1.4,10180.1
59456,20240705143600,20.1,1005.3,28,63,9.8,0.0,10169.6
59462,20240705143600,10.8,1025.0,27,207,13.4,0.2,10494.8
59478,20240705143600,10.3,1004.5,87,314,3.6,1.2,10446.5
59485,20240705143600,5.0,1023.9,7,122,13.2,1.0,10032.1
59488,20240705143600,10.4,1001.2,90,167,11.8,1.2,10457.9
59493,20240705143600,1.8,1012.7,33,16,12.2,1.0,10116.8
59501,20240705143600,0.6,1002.3,83,142,4.6,0.9,10043.0
59658,20240705143600,23.2,1006.4,73,14,1.5,0.9,10389.2
59663,20240705143600,24.9,1011.7,1,174,12.2,0.2,10334.2
59664,20240705143600,24.0,1018.4,42,208,11.9,1.2,10371.4
59673,20240705143600,14.1,1016.1,1,70,0.5,1.5,10095.6
59754,20240705143600,20.1,1005.6,25,5,14.7,0.9,10194.8
57947,20240705143600,21.2,1012.8,37,1,2.6,1.3,10030.8
57957,20240705143600,15.0,1011.1,55,350,14.8,0.9,10063.1
57958,20240705143600,1.7,1000.9,40,88,3.8,0.6,10264.8
59021,20240705143600,14.3,1019.9,18,296,13.5,1.4,10276.2
59023,20240705143600,13.2,1020.8,20,76,1.2,1.2,10008.7
59027,20240705143600,23.8,1016.2,31,178,1.5,1.0,10463.3
59037,20240705143600,16.3,1018.1,24,280,11.1,0.4,10114.7
59046,20240705143600,29.9,1021.0,38,244,0.9,0.2,10475.3
59058,20240705143600,4.6,1009.5,64,350,3.4,0.1,10167.2
59065,20240705143600,19.6,1015.2,46,346,5.6,1.2,10055.2
59209,20240705143600,7.1,1019.8,6,265,9.0,1.0,10450.6
59211,20240705143600,10.1,1000.9,34,72,12.1,1.0,10104.3
59218,20240705143600,8.2,1021.1,52,10,7.6,0.9,10224.1
59228,20240705143600,16.0,1022.9,74,118,1.8,0.2,10168.5
59242,20240705143600,22.4,1017.9,99,26,2.3,0.0,10253.6
59254,20240705143600,11.5,1025.1,39,58,2.3,0.7,10427.4
59265,20240705143600,14.4,1022.3,99,349,1.1,0.6,10497.6
59417,20240705143600,8.7,1018.7,33,190,7.3,0.2,10193.4
59431,20240705143600,29.4,1000.5,93,218,8.7,0.9,10240.5
59446,20240705143600,1.2,1025.4,9,327,2.2,0.4,10092.6
59453,20240705143600,9.7,1021.3,75,24,3.6,0.9,10081.1
59626,20240705143600,34.9,1026.1,8,306,13.0,0.4,10200.6
59631,20240705143600,30.3,1025.9,53,17,1.1,0.2,10317.1
