站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705145300,34.8,1008.0,74,351,10.3,0.9,10343.1
58102,20240705145300,18.1,1011.7,41,3,12.2,0.5,10219.8
58118,20240705145300,11.9,1022.3,23,291,14.8,0.9,10494.4
58122,20240705145300,22.3,1011.2,90,137,14.2,1.5,10347.9
58203,20240705145300,7.2,1015.4,16,172,6.1,0.5,10024.8
58215,20240705145300,6.7,1022.8,42,18,6.3,0.6,10093.9
58221,20240705145300,8.5,1004.0,59,65,3.0,0.5,10085.7
58225,20240705145300,2.8,1007.7,48,253,6.1,1.0,10191.8
58236,20240705145300,0.4,1004.7,20,218,10.8,1.2,10292.2
58311,20240705145300,7.1,1011.0,48,78,4.0,0.3,10454.0
58314,20240705145300,5.3,1010.3,34,199,13.3,0.8,10343.3
58319,20240705145300,6.3,1008.3,1,244,10.7,0.3,10115.1
58321,20240705145300,1.8,1020.6,6,12,6.0,0.9,10468.2
58326,20240705145300,26.8,1026.3,96,0,9.0,0.7,10463.0
58336,20240705145300,3.0,1020.5,73,174,3.6,1.3,10066.1
58338,20240705145300,21.9,1015.5,17,115,12.3,0.9,10439.5
58414,20240705145300,13.0,1012.3,20,9,0.2,0.9,10145.0
58419,20240705145300,1.2,1006.2,38,81,1.2,0.1,10330.4
58424,20240705145300,15.2,1024.3,89,233,11.1,0.6,10146.3
58429,20240705145300,29.7,1000.0,43,128,4.3,0.9,10061.5
58436,20240705145300,6.6,1009.0,100,29,9.8,1.1,10423.8
58437,20240705145300,25.0,1025.4,51,193,6.8,0.7,10249.8
58520,20240705145300,3.1,1000.8,25,183,12.9,1.0,10156.5
58531,20240705145300,19.0,1017.9,45,139,14.6,0.3,10319.5
54406,20240705145300,33.9,1001.2,45,266,0.2,0.9,10354.4
54416,20240705145300,25.3,1019.7,8,13,4.8,0.8,10121.5
54511,20240705145300,31.7,1008.0,65,190,5.8,1.1,10211.0
58725,20240705145300,13.9,1011.7,38,261,11.1,0.5,10034.6
58730,20240705145300,20.9,1016.2,75,49,11.1,1.1,10359.2
58731,20240705145300,26.6,1013.5,15,289,5.3,0.7,10055.8
58734,20240705145300,10.3,1018.9,3,352,2.9,1.3,10451.1
58737,20240705145300,34.0,1006.4,21,161,11.1,0.2,10225.3
58744,20240705145300,22.4,1025.9,12,73,6.6,1.1,10064.8
58754,20240705145300,3.0,1002.1,94,306,4.7,0.7,10086.3
58818,20240705145300,0.2,1013.8,76,357,13.0,0.6,10327.2
58820,20240705145300,10.9,1007.3,89,21,4.7,0.0,10158.5
