站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
58015,20240705145800,12.3,1021.2,92,337,3.9,1.0,10225.1
58102,20240705145800,18.7,1020.3,16,296,8.2,1.5,10389.4
58118,20240705145800,33.3,1006.6,61,124,12.6,1.5,10181.3
58122,20240705145800,22.1,1018.0,13,18,12.0,0.9,10494.2
58203,20240705145800,23.9,1001.7,47,222,3.4,0.7,10070.1
58215,20240705145800,17.5,1020.2,76,174,8.0,1.1,10075.5
58221,20240705145800,16.2,1000.7,71,118,7.3,0.0,10248.7
58225,20240705145800,30.1,1003.8,44,295,13.5,0.9,10048.7
58236,20240705145800,20.7,1013.8,41,168,5.8,0.6,10483.9
58311,20240705145800,4.4,1010.4,78,0,5.7,1.1,10388.2
58314,20240705145800,13.7,1011.9,50,0,5.8,0.8,10245.3
58319,20240705145800,8.3,1013.0,88,247,2.3,0.4,10316.1
58321,20240705145800,31.0,1023.0,84,307,13.5,0.7,10396.5
58326,20240705145800,9.3,1009.4,72,218,4.3,1.4,10180.0
58336,20240705145800,20.0,1021.5,95,80,0.1,1.3,10246.0
58338,20240705145800,21.1,1018.7,13,114,2.7,1.4,10337.4
58414,20240705145800,20.2,1014.9,72,282,4.1,1.4,10162.8
58419,20240705145800,22.7,1007.4,18,182,0.0,0.9,10374.0
58424,20240705145800,24.5,1008.5,92,106,0.2,1.1,10263.4
58429,20240705145800,15.5,1016.4,11,46,5.2,0.0,10126.2
58436,20240705145800,8.1,1025.8,31,24,4.5,0.9,10278.5
58437,20240705145800,18.6,1003.3,34,15,7.4,0.0,10098.7
58520,20240705145800,22.4,1013.7,65,289,10.2,0.9,10163.5
58531,20240705145800,10.6,1022.3,64,31,5.2,1.5,10028.2
54406,20240705145800,30.6,1025.2,91,70,9.8,0.7,10253.9
54416,20240705145800,29.3,1011.5,88,311,1.3,0.0,10133.2
54511,20240705145800,13.9,1005.9,1,265,10.1,0.3,10381.2
58725,20240705145800,10.5,1016.4,91,193,1.4,1.1,10354.6
58730,20240705145800,16.7,1012.2,44,215,0.6,1.0,10380.1
58731,20240705145800,20.4,1023.0,86,359,7.5,1.2,10412.4
58734,20240705145800,9.0,1008.2,22,219,1.3,1.1,10297.7
58737,20240705145800,21.6,1026.4,68,53,12.1,1.2,10065.7
58744,20240705145800,3.5,1022.1,58,104,14.5,0.3,10061.8
58754,20240705145800,25.1,1025.5,45,278,1.0,0.1,10222.1
58818,20240705145800,23.5,1017.2,44,127,3.1,1.0,10457.0
58820,20240705145800,9.7,1021.3,71,23,9.0,0.4,10349.5
58834,20240705145800,6.3,1012.4,64,218,11.7,1.0,10249.6
58837,20240705145800,31.2,1015.1,74,225,3.1,0.0,10065.9
58843,20240705145800,24.1,1018.2,58,358,13.6,0.1,10395.9
58846,20240705145800,1.8,1024.7,61,287,7.7,1.3,10194.9
58847,20240705145800,26.7,1012.3,8,340,6.9,1.5,10167.6
58911,20240705145800,23.6,1024.9,38,200,10.0,0.5,10042.8
